time_seconds,position_cm,mass,paddle,trial
16.865,-10.56,keys,none,1
16.899,-10.44,keys,none,1
16.932,-10.44,keys,none,1
16.965,-10.37,keys,none,1
16.999,-10.37,keys,none,1
17.032,-10.41,keys,none,1
17.065,-10.56,keys,none,1
17.099,-10.66,keys,none,1
17.132,-10.82,keys,none,1
17.165,-10.95,keys,none,1
17.199,-11.07,keys,none,1
17.232,-11.04,keys,none,1
17.265,-11.04,keys,none,1
17.299,-11.14,keys,none,1
17.332,-11.07,keys,none,1
17.365,-11.01,keys,none,1
17.399,-10.91,keys,none,1
17.432,-10.82,keys,none,1
17.465,-10.63,keys,none,1
17.499,-10.5,keys,none,1
17.532,-10.47,keys,none,1
17.565,-10.53,keys,none,1
17.599,-10.47,keys,none,1
17.632,-10.5,keys,none,1
17.665,-10.56,keys,none,1
17.699,-10.66,keys,none,1
17.732,-10.79,keys,none,1
17.765,-10.95,keys,none,1
17.799,-10.95,keys,none,1
17.832,-10.95,keys,none,1
17.865,-11.07,keys,none,1
17.899,-11.1,keys,none,1
17.932,-11.07,keys,none,1
17.965,-11.04,keys,none,1
17.999,-11.04,keys,none,1
18.032,-10.79,keys,none,1
18.065,-10.76,keys,none,1
18.099,-10.69,keys,none,1
18.132,-10.6,keys,none,1
18.165,-10.6,keys,none,1
18.199,-10.56,keys,none,1
18.232,-10.66,keys,none,1
18.265,-10.69,keys,none,1
18.299,-10.76,keys,none,1
18.332,-10.82,keys,none,1
18.365,-10.98,keys,none,1
18.399,-10.98,keys,none,1
18.432,-11.07,keys,none,1
18.465,-11.04,keys,none,1
18.499,-11.01,keys,none,1
18.532,-11.01,keys,none,1
18.565,-11.01,keys,none,1
18.599,-10.88,keys,none,1
18.632,-10.72,keys,none,1
18.665,-10.69,keys,none,1
18.699,-10.6,keys,none,1
18.732,-10.56,keys,none,1
18.765,-10.56,keys,none,1
18.799,-10.63,keys,none,1
18.832,-10.6,keys,none,1
18.865,-10.6,keys,none,1
18.899,-10.63,keys,none,1
18.932,-10.69,keys,none,1
18.965,-10.79,keys,none,1
18.999,-10.85,keys,none,1
19.032,-10.95,keys,none,1
19.065,-11.01,keys,none,1
19.099,-10.95,keys,none,1
19.132,-10.88,keys,none,1
19.165,-10.85,keys,none,1
19.199,-10.79,keys,none,1
19.232,-10.66,keys,none,1
19.265,-10.66,keys,none,1
19.298,-10.6,keys,none,1
19.332,-10.56,keys,none,1
19.365,-10.53,keys,none,1
19.398,-10.56,keys,none,1
19.432,-10.6,keys,none,1
19.465,-10.6,keys,none,1
19.498,-10.6,keys,none,1
19.532,-10.66,keys,none,1
19.565,-10.79,keys,none,1
19.598,-10.82,keys,none,1
19.632,-10.95,keys,none,1
19.665,-10.98,keys,none,1
19.698,-10.98,keys,none,1
19.732,-10.98,keys,none,1
19.765,-10.98,keys,none,1
19.798,-10.85,keys,none,1
19.832,-10.85,keys,none,1
19.865,-10.79,keys,none,1
19.898,-10.72,keys,none,1
19.932,-10.72,keys,none,1
19.965,-10.72,keys,none,1
19.998,-10.69,keys,none,1
20.032,-10.69,keys,none,1
20.065,-10.69,keys,none,1
20.098,-10.79,keys,none,1
20.132,-10.79,keys,none,1
20.165,-10.85,keys,none,1
20.198,-11.01,keys,none,1
20.232,-11.01,keys,none,1
20.265,-11.01,keys,none,1
20.298,-10.95,keys,none,1
20.332,-10.95,keys,none,1
20.365,-10.79,keys,none,1
20.398,-10.76,keys,none,1
20.432,-10.72,keys,none,1
20.465,-10.56,keys,none,1
20.498,-10.56,keys,none,1
20.532,-10.56,keys,none,1
20.565,-10.56,keys,none,1
20.598,-10.56,keys,none,1
20.632,-10.56,keys,none,1
20.665,-10.6,keys,none,1
20.698,-10.66,keys,none,1
20.732,-10.76,keys,none,1
20.765,-10.82,keys,none,1
20.798,-10.85,keys,none,1
20.832,-10.85,keys,none,1
20.865,-10.85,keys,none,1
20.898,-10.85,keys,none,1
20.932,-10.85,keys,none,1
20.965,-10.85,keys,none,1
20.998,-10.79,keys,none,1
21.032,-10.72,keys,none,1
21.065,-10.72,keys,none,1
21.098,-10.66,keys,none,1
21.132,-10.69,keys,none,1
21.165,-10.69,keys,none,1
21.198,-10.69,keys,none,1
21.232,-10.69,keys,none,1
21.265,-10.72,keys,none,1
21.298,-10.72,keys,none,1
21.332,-10.72,keys,none,1
0.0,19.9885,150,none,1
0.0333,19.653,150,none,1
0.0667,18.7659,150,none,1
0.1,17.451,150,none,1
0.1333,15.6228,150,none,1
0.1667,13.5024,150,none,1
0.2,11.5391,150,none,1
0.2333,9.4382,150,none,1
0.2667,7.596,150,none,1
0.3,6.1164,150,none,1
0.3333,5.0667,150,none,1
0.3667,4.6024,150,none,1
0.4,4.5778,150,none,1
0.4333,5.0981,150,none,1
0.4667,6.0952,150,none,1
0.5,7.5563,150,none,1
0.5333,9.4455,150,none,1
0.5667,11.49,150,none,1
0.6,13.3734,150,none,1
0.6333,15.2262,150,none,1
0.6667,16.8862,150,none,1
0.7,17.9651,150,none,1
0.7333,18.8358,150,none,1
0.7667,19.1686,150,none,1
0.8,18.9423,150,none,1
0.8333,18.0949,150,none,1
0.8667,16.9451,150,none,1
0.9,15.3872,150,none,1
0.9333,13.6507,150,none,1
0.9667,11.6212,150,none,1
1.0,9.9177,150,none,1
1.0333,8.0874,150,none,1
1.0667,6.6299,150,none,1
1.1,5.8139,150,none,1
1.1333,5.2719,150,none,1
1.1667,5.3912,150,none,1
1.2,5.8402,150,none,1
1.2333,6.6065,150,none,1
1.2667,8.068,150,none,1
1.3,9.4966,150,none,1
1.3333,11.3085,150,none,1
1.3667,13.0633,150,none,1
1.4,14.7702,150,none,1
1.4333,16.2816,150,none,1
1.4667,17.3986,150,none,1
1.5,18.1035,150,none,1
1.5333,18.4027,150,none,1
1.5667,18.1957,150,none,1
1.6,17.4645,150,none,1
1.6333,16.4164,150,none,1
1.6667,15.0776,150,none,1
1.7,13.5817,150,none,1
1.7333,11.8508,150,none,1
1.7667,10.4129,150,none,1
1.8,8.6621,150,none,1
1.8333,7.3963,150,none,1
1.8667,6.6458,150,none,1
1.9,6.2042,150,none,1
1.9333,6.0753,150,none,1
1.9667,6.4842,150,none,1
2.0,7.3194,150,none,1
