t,x,y
15.012,-6.739,-10.18
15.046,-6.631,-10.14
15.179,-6.094,-7.24
15.213,-6.13,-6.165
15.246,-6.13,-5.413
15.346,-6.201,-4.339
15.379,-6.201,-4.446
15.413,-6.273,-4.876
15.446,-6.345,-5.628
15.546,-6.595,-8.386
15.579,-6.774,-9.174
15.646,-6.953,-10.32
15.68,-6.953,-10.64
15.713,-7.24,-10.64
15.746,-7.312,-10.32
15.846,-7.312,-8.243
15.946,-7.276,-5.807
15.98,-7.204,-5.198
16.013,-7.24,-4.518
16.047,-7.025,-4.446
16.08,-6.989,-4.482
16.113,-6.918,-4.625
16.147,-6.882,-4.983
16.18,-6.846,-5.771
16.213,-6.667,-6.559
16.247,-6.559,-7.419
16.28,-6.595,-8.35
16.313,-6.595,-8.601
16.347,-6.524,-9.353
16.38,-6.309,-10.11
16.414,-6.345,-10.61
16.447,-6.38,-10.64
16.48,-6.416,-10.5
16.514,-6.488,-10.03
16.547,-6.524,-9.425
16.58,-6.559,-8.601
16.614,-6.631,-7.634
16.647,-6.667,-6.953
16.68,-6.81,-5.951
16.714,-6.81,-5.198
16.747,-6.918,-4.697
16.78,-7.025,-4.052
16.814,-7.025,-4.052
16.847,-7.276,-4.482
16.881,-7.24,-5.306
16.914,-7.24,-5.915
16.947,-7.312,-6.631
16.981,-7.348,-7.455
17.014,-7.312,-8.852
17.047,-7.491,-9.604
17.081,-7.491,-9.855
17.114,-7.491,-10.36
17.147,-7.24,-10.43
17.181,-7.24,-10.25
17.214,-6.953,-9.855
17.248,-6.918,-9.282
17.281,-6.846,-8.494
17.314,-6.667,-7.813
17.348,-6.595,-6.953
17.381,-6.595,-6.524
17.414,-6.273,-5.127
17.448,-6.309,-4.697
17.481,-6.309,-4.267
17.514,-6.309,-4.303
17.548,-6.201,-4.697
17.581,-6.201,-4.983
17.614,-6.201,-5.592
17.648,-6.165,-6.273
17.681,-6.273,-7.24
17.715,-6.273,-8.1
17.748,-6.273,-9.067
17.781,-6.452,-10.03
17.815,-6.452,-10.71
17.848,-6.846,-11.04
17.881,-6.846,-11.04
17.915,-6.989,-10.79
17.948,-7.276,-10.18
17.981,-7.383,-9.461
18.015,-7.383,-8.422
18.048,-7.383,-7.419
18.082,-7.455,-6.345
18.115,-7.527,-5.7
18.148,-7.527,-4.912
18.182,-7.491,-4.446
18.215,-7.527,-4.303
18.248,-7.419,-4.554
18.282,-7.419,-4.625
18.315,-7.348,-5.198
18.348,-7.276,-5.879
18.382,-7.348,-6.846
18.415,-7.312,-7.706
18.449,-7.133,-8.53
18.482,-7.025,-9.067
18.515,-6.953,-9.819
18.549,-6.703,-10.21
18.582,-6.452,-10.25
18.615,-6.452,-10.18
18.649,-6.309,-9.568
18.682,-6.309,-9.246
18.715,-6.273,-8.494
18.749,-6.273,-7.634
18.782,-6.13,-6.81
18.815,-6.165,-5.951
18.849,-6.165,-5.306
18.882,-6.165,-4.661
18.916,-6.165,-4.518
18.949,-6.165,-4.482
18.982,-6.309,-4.697
19.016,-6.38,-5.055
19.049,-6.488,-6.13
19.082,-6.559,-6.918
19.116,-6.595,-7.885
19.149,-6.667,-8.852
19.182,-6.774,-9.712
19.216,-6.846,-10.07
19.249,-6.918,-10.14
19.283,-7.061,-10.32
19.316,-7.168,-10.28
19.349,-7.276,-10.18
19.383,-7.598,-9.389
19.416,-7.383,-8.601
19.449,-7.24,-8.028
19.483,-7.204,-6.918
19.516,-7.204,-6.094
19.549,-7.168,-5.7
19.583,-7.168,-5.055
19.616,-7.097,-4.768
19.65,-6.918,-4.554
19.683,-6.882,-4.733
19.716,-6.774,-5.127
19.75,-6.774,-5.521
19.783,-6.774,-6.058
19.816,-6.524,-6.559
19.85,-6.524,-7.312
19.883,-6.237,-8.279
